End date,"12/26/2016"
Specimen label,"11BG_81_2_run2"
Maximum Load,"0.05442",N

Time,Extension,Load
(s),(mm),(N)
"4.65600","35.53920","0.01137"
"4.66200","35.53973","0.01135"
"4.66800","35.54021","0.01132"
"4.67400","35.54069","0.01138"
"4.68000","35.54117","0.01145"
"4.68600","35.54171","0.01146"
"4.69200","35.54219","0.01146"
"4.69800","35.54266","0.01154"
"4.70400","35.54321","0.01164"
"4.71000","35.54368","0.01172"
"4.71600","35.54416","0.01179"
"4.72200","35.54470","0.01178"
"4.72800","35.54518","0.01180"
"4.73400","35.54572","0.01178"
"4.74000","35.54619","0.01170"
"4.74600","35.54667","0.01158"
"4.75200","35.54721","0.01148"
"4.75800","35.54769","0.01139"
"4.76400","35.54816","0.01129"
"4.77000","35.54864","0.01121"
"4.77600","35.54918","0.01111"
"4.78200","35.54966","0.01101"
"4.78800","35.55020","0.01101"
