End date,"12/21/2016"
Specimen label,"24T_90"
Maximum Load,"1.06486",N

Time,Extension,Load
(s),(mm),(N)
"3.05400","0.25470","0.00150"
"3.06000","0.25518","0.00145"
"3.06600","0.25566","0.00142"
"3.07200","0.25614","0.00147"
"3.07800","0.25668","0.00148"
"3.08400","0.25715","0.00145"
"3.09000","0.25763","0.00144"
"3.09600","0.25817","0.00140"
"3.10200","0.25865","0.00131"
"3.10800","0.25913","0.00139"
"3.11400","0.25967","0.00150"
"3.12000","0.26014","0.00161"
"3.12600","0.26062","0.00167"
"3.13200","0.26116","0.00168"
"3.13800","0.26164","0.00158"
"3.14400","0.26218","0.00144"
"3.15000","0.26266","0.00134"
"3.15600","0.26319","0.00129"
"3.16200","0.26373","0.00125"
"3.16800","0.26421","0.00123"
"3.17400","0.26469","0.00120"
"3.18000","0.26523","0.00115"
"3.18600","0.26570","0.00113"
"3.19200","0.26618","0.00113"
"3.19800","0.26666","0.00115"
"3.20400","0.26714","0.00114"
"3.21000","0.26768","0.00117"
"3.21600","0.26816","0.00113"
"3.22200","0.26863","0.00112"
"3.22800","0.26917","0.00116"
"3.23400","0.26965","0.00114"
"3.24000","0.27013","0.00113"
"3.24600","0.27061","0.00106"
"3.25200","0.27115","0.00103"
"3.25800","0.27162","0.00104"
"3.26400","0.27210","0.00099"
"3.27000","0.27264","0.00102"
"3.27600","0.27312","0.00104"
"3.28200","0.27360","0.00104"
"3.28800","0.27413","0.00102"
"3.29400","0.27467","0.00088"
"3.30000","0.27515","0.00085"
"3.30600","0.27569","0.00087"
"3.31200","0.27617","0.00087"
"3.31800","0.27665","0.00092"
"3.32400","0.27718","0.00102"
"3.33000","0.27766","0.00107"
"3.33600","0.27814","0.00106"
"3.34200","0.27862","0.00112"
"3.34800","0.27910","0.00115"
"3.35400","0.27958","0.00119"
"3.36000","0.28011","0.00127"
"3.36600","0.28059","0.00128"
"3.37200","0.28113","0.00138"
"3.37800","0.28161","0.00144"
"3.38400","0.28209","0.00149"
"3.39000","0.28257","0.00152"
"3.39600","0.28310","0.00149"
"3.40200","0.28358","0.00149"
"3.40800","0.28406","0.00153"
"3.41400","0.28454","0.00154"
"3.42000","0.28508","0.00156"
"3.42600","0.28555","0.00158"
"3.43200","0.28609","0.00169"
"3.43800","0.28657","0.00170"
"3.44400","0.28711","0.00166"
"3.45000","0.28759","0.00167"
"3.45600","0.28813","0.00170"
"3.46200","0.28860","0.00164"
"3.46800","0.28908","0.00150"
"3.47400","0.28962","0.00145"
"3.48000","0.29010","0.00149"
"3.48600","0.29058","0.00158"
"3.49200","0.29106","0.00161"
"3.49800","0.29159","0.00155"
"3.50400","0.29207","0.00150"
"3.51000","0.29255","0.00143"
"3.51600","0.29309","0.00135"
"3.52200","0.29357","0.00141"
"3.52800","0.29404","0.00152"
"3.53400","0.29458","0.00162"
"3.54000","0.29506","0.00173"
"3.54600","0.29560","0.00172"
"3.55200","0.29608","0.00164"
"3.55800","0.29662","0.00158"
"3.56400","0.29709","0.00148"
"3.57000","0.29763","0.00142"
"3.57600","0.29811","0.00135"
"3.58200","0.29865","0.00126"
"3.58800","0.29919","0.00129"
"3.59400","0.29967","0.00135"
"3.60000","0.30020","0.00141"
"3.60600","0.30068","0.00150"
"3.61200","0.30122","0.00150"
"3.61800","0.30170","0.00146"
"3.62400","0.30218","0.00147"
"3.63000","0.30265","0.00153"
