End date,"1/22/2017"
Specimen label,"3CT_17_run2"
Maximum Load,"0.29793",N

Time,Extension,Load
(s),(mm),(N)
"4.61400","11.08253","0.04330"
"4.62000","11.08301","0.04331"
"4.62600","11.08354","0.04334"
"4.63200","11.08402","0.04340"
"4.63800","11.08456","0.04353"
"4.64400","11.08510","0.04360"
"4.65000","11.08558","0.04372"
"4.65600","11.08612","0.04378"
"4.66200","11.08659","0.04375"
"4.66800","11.08713","0.04361"
"4.67400","11.08761","0.04352"
"4.68000","11.08809","0.04346"
"4.68600","11.08863","0.04341"
"4.69200","11.08911","0.04339"
"4.69800","11.08958","0.04341"
"4.70400","11.09006","0.04339"
"4.71000","11.09060","0.04336"
"4.71600","11.09108","0.04337"
"4.72200","11.09161","0.04345"
"4.72800","11.09209","0.04348"
"4.73400","11.09257","0.04339"
"4.74000","11.09311","0.04338"
"4.74600","11.09359","0.04344"
"4.75200","11.09413","0.04364"
"4.75800","11.09460","0.04383"
"4.76400","11.09508","0.04401"
"4.77000","11.09562","0.04416"
"4.77600","11.09610","0.04417"
"4.78200","11.09664","0.04417"
"4.78800","11.09712","0.04418"
"4.79400","11.09765","0.04418"
