End date,"2/26/2017"
Specimen label,"6AT_44"
Maximum Load,"0.06217",N

Time,Extension,Load
(s),(mm),(N)
"4.29000","0.35772","0.00286"
"4.29600","0.35820","0.00281"
"4.30200","0.35868","0.00276"
"4.30800","0.35922","0.00286"
"4.31400","0.35969","0.00310"
"4.32000","0.36017","0.00324"
"4.32600","0.36071","0.00330"
"4.33200","0.36119","0.00339"
"4.33800","0.36167","0.00340"
"4.34400","0.36215","0.00333"
"4.35000","0.36268","0.00323"
"4.35600","0.36316","0.00314"
"4.36200","0.36364","0.00312"
"4.36800","0.36418","0.00320"
"4.37400","0.36466","0.00322"
"4.38000","0.36519","0.00326"
"4.38600","0.36567","0.00323"
"4.39200","0.36615","0.00316"
"4.39800","0.36663","0.00303"
"4.40400","0.36717","0.00289"
"4.41000","0.36765","0.00288"
"4.41600","0.36812","0.00295"
"4.42200","0.36866","0.00305"
"4.42800","0.36914","0.00309"
"4.43400","0.36962","0.00326"
"4.44000","0.37016","0.00335"
"4.44600","0.37064","0.00334"
"4.45200","0.37117","0.00331"
"4.45800","0.37165","0.00329"
"4.46400","0.37213","0.00316"
"4.47000","0.37261","0.00306"
"4.47600","0.37315","0.00314"
"4.48200","0.37362","0.00323"
"4.48800","0.37410","0.00325"
"4.49400","0.37464","0.00335"
"4.50000","0.37512","0.00344"
"4.50600","0.37566","0.00353"
"4.51200","0.37614","0.00358"
"4.51800","0.37667","0.00366"
"4.52400","0.37715","0.00374"
"4.53000","0.37769","0.00377"
"4.53600","0.37817","0.00369"
"4.54200","0.37865","0.00349"
"4.54800","0.37919","0.00331"
"4.55400","0.37966","0.00319"
"4.56000","0.38014","0.00320"
"4.56600","0.38068","0.00326"
"4.57200","0.38116","0.00321"
"4.57800","0.38164","0.00316"
"4.58400","0.38211","0.00318"
"4.59000","0.38265","0.00310"
"4.59600","0.38313","0.00288"
"4.60200","0.38367","0.00264"
"4.60800","0.38415","0.00261"
"4.61400","0.38469","0.00273"
"4.62000","0.38516","0.00287"
"4.62600","0.38570","0.00290"
