End date,"11/4/2016"
Specimen label,"63G21"
Maximum Load,"0.01685",N

Time,Extension,Load
(s),(mm),(N)
"4.05000","52.69646","0.01377"
"4.05600","52.69695","0.01363"
"4.06200","52.69742","0.01360"
"4.06800","52.69790","0.01360"
"4.07400","52.69844","0.01349"
"4.08000","52.69891","0.01347"
"4.08600","52.69939","0.01351"
"4.09200","52.69993","0.01355"
"4.09800","52.70041","0.01339"
"4.10400","52.70089","0.01329"
"4.11000","52.70142","0.01325"
"4.11600","52.70190","0.01322"
"4.12200","52.70244","0.01320"
"4.12800","52.70292","0.01317"
"4.13400","52.70340","0.01325"
"4.14000","52.70388","0.01346"
"4.14600","52.70441","0.01372"
"4.15200","52.70489","0.01381"
"4.15800","52.70537","0.01389"
"4.16400","52.70591","0.01407"
"4.17000","52.70639","0.01433"
"4.17600","52.70686","0.01454"
"4.18200","52.70740","0.01448"
"4.18800","52.70789","0.01431"
"4.19400","52.70836","0.01421"
"4.20000","52.70890","0.01424"
"4.20600","52.70937","0.01429"
"4.21200","52.70985","0.01414"
"4.21800","52.71033","0.01401"
"4.22400","52.71087","0.01400"
"4.23000","52.71135","0.01402"
"4.23600","52.71189","0.01393"
"4.24200","52.71237","0.01386"
"4.24800","52.71290","0.01392"
"4.25400","52.71344","0.01423"
"4.26000","52.71392","0.01444"
"4.26600","52.71446","0.01437"
"4.27200","52.71494","0.01422"
"4.27800","52.71547","0.01430"
"4.28400","52.71595","0.01441"
"4.29000","52.71643","0.01451"
"4.29600","52.71691","0.01443"
"4.30200","52.71745","0.01434"
"4.30800","52.71793","0.01437"
"4.31400","52.71841","0.01439"
"4.32000","52.71894","0.01432"
"4.32600","52.71942","0.01434"
"4.33200","52.71990","0.01434"
"4.33800","52.72044","0.01443"
"4.34400","52.72092","0.01459"
"4.35000","52.72139","0.01465"
"4.35600","52.72193","0.01457"
"4.36200","52.72241","0.01450"
"4.36800","52.72295","0.01466"
"4.37400","52.72343","0.01468"
"4.38000","52.72396","0.01461"
"4.38600","52.72444","0.01465"
"4.39200","52.72498","0.01482"
"4.39800","52.72546","0.01493"
