End date,"2/12/2017"
Specimen label,"10BG_Unk2"
Maximum Load,"0.64592",N

Time,Extension,Load
(s),(mm),(N)
"4.03800","0.33673","0.00686"
"4.04400","0.33721","0.00688"
"4.05000","0.33769","0.00695"
"4.05600","0.33823","0.00715"
"4.06200","0.33871","0.00730"
"4.06800","0.33919","0.00750"
"4.07400","0.33972","0.00751"
"4.08000","0.34020","0.00749"
"4.08600","0.34068","0.00742"
"4.09200","0.34122","0.00736"
"4.09800","0.34170","0.00725"
"4.10400","0.34224","0.00706"
"4.11000","0.34271","0.00693"
"4.11600","0.34325","0.00695"
"4.12200","0.34373","0.00699"
"4.12800","0.34421","0.00694"
"4.13400","0.34475","0.00695"
"4.14000","0.34522","0.00712"
"4.14600","0.34576","0.00732"
"4.15200","0.34624","0.00746"
"4.15800","0.34672","0.00748"
"4.16400","0.34726","0.00748"
"4.17000","0.34774","0.00752"
"4.17600","0.34827","0.00742"
"4.18200","0.34875","0.00738"
"4.18800","0.34923","0.00733"
"4.19400","0.34977","0.00719"
"4.20000","0.35025","0.00706"
"4.20600","0.35073","0.00702"
"4.21200","0.35126","0.00712"
"4.21800","0.35174","0.00723"
"4.22400","0.35222","0.00727"
"4.23000","0.35276","0.00724"
"4.23600","0.35324","0.00736"
"4.24200","0.35371","0.00749"
"4.24800","0.35419","0.00756"
"4.25400","0.35473","0.00762"
"4.26000","0.35521","0.00754"
"4.26600","0.35569","0.00729"
"4.27200","0.35623","0.00709"
"4.27800","0.35670","0.00704"
"4.28400","0.35718","0.00708"
"4.29000","0.35772","0.00713"
"4.29600","0.35820","0.00719"
"4.30200","0.35874","0.00715"
"4.30800","0.35922","0.00709"
"4.31400","0.35969","0.00699"
"4.32000","0.36017","0.00702"
"4.32600","0.36065","0.00706"
"4.33200","0.36119","0.00710"
"4.33800","0.36167","0.00727"
"4.34400","0.36215","0.00740"
"4.35000","0.36262","0.00748"
"4.35600","0.36316","0.00751"
"4.36200","0.36364","0.00744"
"4.36800","0.36412","0.00740"
"4.37400","0.36466","0.00732"
"4.38000","0.36513","0.00732"
"4.38600","0.36561","0.00751"
"4.39200","0.36615","0.00751"
"4.39800","0.36663","0.00760"
"4.40400","0.36711","0.00763"
"4.41000","0.36765","0.00759"
"4.41600","0.36812","0.00763"
"4.42200","0.36866","0.00778"
"4.42800","0.36914","0.00789"
"4.43400","0.36968","0.00782"
"4.44000","0.37016","0.00791"
"4.44600","0.37070","0.00792"
"4.45200","0.37123","0.00798"
"4.45800","0.37171","0.00805"
"4.46400","0.37219","0.00815"
"4.47000","0.37273","0.00823"
"4.47600","0.37321","0.00824"
"4.48200","0.37368","0.00828"
"4.48800","0.37422","0.00821"
"4.49400","0.37470","0.00789"
"4.50000","0.37518","0.00762"
"4.50600","0.37572","0.00750"
"4.51200","0.37620","0.00742"
"4.51800","0.37673","0.00741"
"4.52400","0.37721","0.00735"
"4.53000","0.37769","0.00732"
"4.53600","0.37823","0.00736"
"4.54200","0.37871","0.00730"
"4.54800","0.37925","0.00730"
"4.55400","0.37972","0.00739"
"4.56000","0.38020","0.00749"
"4.56600","0.38074","0.00762"
"4.57200","0.38122","0.00771"
"4.57800","0.38176","0.00777"
"4.58400","0.38223","0.00777"
"4.59000","0.38277","0.00792"
"4.59600","0.38325","0.00798"
"4.60200","0.38379","0.00781"
"4.60800","0.38427","0.00758"
"4.61400","0.38475","0.00748"
"4.62000","0.38522","0.00757"
"4.62600","0.38570","0.00752"
"4.63200","0.38618","0.00745"
"4.63800","0.38666","0.00749"
"4.64400","0.38720","0.00750"
"4.65000","0.38768","0.00757"
"4.65600","0.38815","0.00780"
"4.66200","0.38869","0.00802"
"4.66800","0.38917","0.00808"
"4.67400","0.38965","0.00801"
"4.68000","0.39019","0.00796"
"4.68600","0.39066","0.00790"
"4.69200","0.39120","0.00776"
"4.69800","0.39168","0.00762"
"4.70400","0.39222","0.00755"
"4.71000","0.39270","0.00734"
"4.71600","0.39318","0.00718"
"4.72200","0.39371","0.00722"
"4.72800","0.39425","0.00713"
"4.73400","0.39473","0.00707"
"4.74000","0.39527","0.00711"
"4.74600","0.39575","0.00719"
"4.75200","0.39629","0.00734"
"4.75800","0.39676","0.00739"
"4.76400","0.39724","0.00738"
"4.77000","0.39778","0.00741"
"4.77600","0.39826","0.00742"
"4.78200","0.39874","0.00744"
"4.78800","0.39921","0.00743"
