End date,"12/17/2016"
Specimen label,"6CT_42"
Maximum Load,"0.30066",N

Time,Extension,Load
(s),(mm),(N)
"4.66200","0.38869","0.00484"
"4.66800","0.38917","0.00482"
"4.67400","0.38965","0.00477"
"4.68000","0.39019","0.00470"
"4.68600","0.39066","0.00472"
"4.69200","0.39114","0.00477"
"4.69800","0.39162","0.00479"
"4.70400","0.39210","0.00481"
"4.71000","0.39264","0.00482"
"4.71600","0.39312","0.00476"
"4.72200","0.39359","0.00470"
"4.72800","0.39407","0.00466"
"4.73400","0.39455","0.00460"
"4.74000","0.39509","0.00454"
"4.74600","0.39557","0.00450"
"4.75200","0.39605","0.00453"
"4.75800","0.39658","0.00454"
"4.76400","0.39706","0.00453"
"4.77000","0.39754","0.00451"
"4.77600","0.39808","0.00452"
"4.78200","0.39856","0.00449"
"4.78800","0.39910","0.00452"
"4.79400","0.39957","0.00457"
