End date,"1/8/2017"
Specimen label,"11AT_NL"
Maximum Load,"0.06823",N

Time,Extension,Load
(s),(mm),(N)
"4.08600","0.34068","0.00045"
"4.09200","0.34116","0.00047"
"4.09800","0.34170","0.00043"
"4.10400","0.34218","0.00030"
"4.11000","0.34265","0.00022"
"4.11600","0.34319","0.00018"
"4.12200","0.34367","0.00021"
"4.12800","0.34415","0.00030"
"4.13400","0.34469","0.00031"
"4.14000","0.34516","0.00026"
"4.14600","0.34564","0.00028"
"4.15200","0.34618","0.00034"
"4.15800","0.34666","0.00031"
"4.16400","0.34714","0.00035"
"4.17000","0.34768","0.00042"
"4.17600","0.34815","0.00042"
"4.18200","0.34863","0.00035"
"4.18800","0.34917","0.00035"
"4.19400","0.34965","0.00029"
"4.20000","0.35019","0.00023"
"4.20600","0.35067","0.00020"
"4.21200","0.35120","0.00023"
"4.21800","0.35168","0.00023"
"4.22400","0.35222","0.00017"
"4.23000","0.35270","0.00013"
"4.23600","0.35324","0.00019"
"4.24200","0.35371","0.00021"
"4.24800","0.35419","0.00020"
"4.25400","0.35473","0.00013"
"4.26000","0.35521","0.00001"
"4.26600","0.35575","-0.00010"
"4.27200","0.35623","-0.00006"
"4.27800","0.35676","0.00013"
"4.28400","0.35724","0.00037"
"4.29000","0.35772","0.00039"
"4.29600","0.35826","0.00023"
"4.30200","0.35874","0.00020"
"4.30800","0.35928","0.00024"
"4.31400","0.35975","0.00038"
"4.32000","0.36029","0.00048"
"4.32600","0.36077","0.00048"
"4.33200","0.36125","0.00042"
"4.33800","0.36179","0.00030"
"4.34400","0.36226","0.00018"
"4.35000","0.36274","0.00012"
"4.35600","0.36328","0.00017"
"4.36200","0.36376","0.00031"
"4.36800","0.36424","0.00040"
"4.37400","0.36472","0.00039"
"4.38000","0.36519","0.00039"
"4.38600","0.36573","0.00033"
"4.39200","0.36621","0.00032"
"4.39800","0.36669","0.00042"
"4.40400","0.36723","0.00048"
"4.41000","0.36771","0.00042"
"4.41600","0.36818","0.00025"
"4.42200","0.36872","0.00008"
"4.42800","0.36920","0.00003"
"4.43400","0.36974","0.00007"
"4.44000","0.37022","0.00008"
"4.44600","0.37075","0.00012"
"4.45200","0.37123","0.00009"
"4.45800","0.37171","0.00005"
"4.46400","0.37219","0.00007"
"4.47000","0.37273","0.00014"
"4.47600","0.37321","0.00029"
"4.48200","0.37368","0.00032"
"4.48800","0.37422","0.00019"
"4.49400","0.37470","0.00002"
"4.50000","0.37518","-0.00016"
"4.50600","0.37572","-0.00019"
"4.51200","0.37620","-0.00013"
"4.51800","0.37673","0.00008"
"4.52400","0.37721","0.00037"
"4.53000","0.37775","0.00060"
"4.53600","0.37823","0.00071"
"4.54200","0.37871","0.00070"
"4.54800","0.37925","0.00059"
"4.55400","0.37972","0.00059"
"4.56000","0.38020","0.00063"
"4.56600","0.38074","0.00071"
"4.57200","0.38122","0.00081"
"4.57800","0.38176","0.00075"
"4.58400","0.38223","0.00046"
"4.59000","0.38277","0.00027"
"4.59600","0.38325","0.00026"
"4.60200","0.38373","0.00034"
"4.60800","0.38421","0.00037"
"4.61400","0.38475","0.00031"
"4.62000","0.38522","0.00026"
"4.62600","0.38570","0.00016"
"4.63200","0.38618","0.00004"
"4.63800","0.38672","-0.00004"
"4.64400","0.38720","-0.00008"
"4.65000","0.38768","-0.00011"
"4.65600","0.38815","-0.00010"
"4.66200","0.38869","-0.00009"
"4.66800","0.38917","0.00004"
"4.67400","0.38965","0.00031"
"4.68000","0.39013","0.00066"
"4.68600","0.39066","0.00091"
"4.69200","0.39114","0.00096"
"4.69800","0.39162","0.00093"
"4.70400","0.39216","0.00095"
