End date,"1/8/2017"
Specimen label,"19AG_UNK"
Maximum Load,"0.01075",N

Time,Extension,Load
(s),(mm),(N)
"4.18200","0.34863","0.00779"
"4.18800","0.34911","0.00774"
"4.19400","0.34965","0.00782"
"4.20000","0.35013","0.00793"
"4.20600","0.35067","0.00798"
"4.21200","0.35114","0.00795"
"4.21800","0.35162","0.00798"
"4.22400","0.35216","0.00797"
"4.23000","0.35264","0.00799"
"4.23600","0.35312","0.00794"
"4.24200","0.35360","0.00780"
"4.24800","0.35413","0.00770"
"4.25400","0.35461","0.00761"
"4.26000","0.35509","0.00766"
"4.26600","0.35557","0.00776"
"4.27200","0.35611","0.00776"
"4.27800","0.35658","0.00768"
"4.28400","0.35712","0.00762"
"4.29000","0.35760","0.00758"
"4.29600","0.35808","0.00755"
"4.30200","0.35862","0.00769"
"4.30800","0.35910","0.00791"
"4.31400","0.35963","0.00794"
"4.32000","0.36011","0.00792"
"4.32600","0.36065","0.00790"
"4.33200","0.36113","0.00783"
"4.33800","0.36167","0.00775"
"4.34400","0.36215","0.00771"
"4.35000","0.36268","0.00781"
"4.35600","0.36316","0.00789"
"4.36200","0.36370","0.00787"
"4.36800","0.36418","0.00780"
"4.37400","0.36466","0.00773"
"4.38000","0.36519","0.00772"
"4.38600","0.36567","0.00777"
"4.39200","0.36615","0.00783"
"4.39800","0.36669","0.00784"
"4.40400","0.36717","0.00782"
"4.41000","0.36771","0.00783"
"4.41600","0.36818","0.00785"
"4.42200","0.36866","0.00784"
"4.42800","0.36920","0.00787"
"4.43400","0.36968","0.00792"
"4.44000","0.37022","0.00793"
"4.44600","0.37070","0.00792"
"4.45200","0.37117","0.00786"
"4.45800","0.37171","0.00780"
"4.46400","0.37219","0.00774"
"4.47000","0.37267","0.00766"
"4.47600","0.37321","0.00754"
"4.48200","0.37368","0.00748"
"4.48800","0.37416","0.00749"
"4.49400","0.37470","0.00756"
"4.50000","0.37518","0.00759"
"4.50600","0.37566","0.00759"
"4.51200","0.37614","0.00760"
"4.51800","0.37667","0.00762"
"4.52400","0.37715","0.00765"
"4.53000","0.37763","0.00778"
"4.53600","0.37817","0.00793"
"4.54200","0.37865","0.00803"
"4.54800","0.37919","0.00802"
"4.55400","0.37966","0.00802"
"4.56000","0.38014","0.00807"
"4.56600","0.38068","0.00817"
"4.57200","0.38116","0.00820"
"4.57800","0.38170","0.00819"
"4.58400","0.38217","0.00816"
"4.59000","0.38265","0.00810"
"4.59600","0.38313","0.00800"
"4.60200","0.38367","0.00790"
"4.60800","0.38415","0.00782"
"4.61400","0.38463","0.00779"
"4.62000","0.38516","0.00770"
"4.62600","0.38564","0.00767"
"4.63200","0.38618","0.00769"
"4.63800","0.38666","0.00764"
"4.64400","0.38714","0.00760"
"4.65000","0.38762","0.00758"
"4.65600","0.38815","0.00762"
"4.66200","0.38863","0.00769"
"4.66800","0.38911","0.00775"
"4.67400","0.38965","0.00778"
"4.68000","0.39013","0.00781"
"4.68600","0.39061","0.00788"
"4.69200","0.39114","0.00796"
"4.69800","0.39162","0.00809"
"4.70400","0.39210","0.00817"
"4.71000","0.39264","0.00815"
"4.71600","0.39312","0.00814"
"4.72200","0.39359","0.00801"
"4.72800","0.39413","0.00797"
"4.73400","0.39461","0.00807"
