End date,"12/16/2016"
Specimen label,"6DG_Unk"
Maximum Load,"0.12815",N

Time,Extension,Load
(s),(mm),(N)
"4.61400","0.38475","0.00092"
"4.62000","0.38522","0.00081"
"4.62600","0.38570","0.00068"
"4.63200","0.38618","0.00063"
"4.63800","0.38672","0.00078"
"4.64400","0.38720","0.00084"
"4.65000","0.38768","0.00090"
"4.65600","0.38815","0.00084"
"4.66200","0.38863","0.00075"
"4.66800","0.38917","0.00071"
"4.67400","0.38965","0.00077"
"4.68000","0.39013","0.00076"
"4.68600","0.39066","0.00083"
"4.69200","0.39114","0.00092"
"4.69800","0.39162","0.00097"
"4.70400","0.39216","0.00097"
"4.71000","0.39264","0.00087"
"4.71600","0.39318","0.00084"
"4.72200","0.39365","0.00085"
"4.72800","0.39419","0.00079"
"4.73400","0.39467","0.00076"
"4.74000","0.39515","0.00084"
"4.74600","0.39569","0.00091"
"4.75200","0.39617","0.00105"
"4.75800","0.39670","0.00125"
"4.76400","0.39718","0.00136"
"4.77000","0.39766","0.00147"
"4.77600","0.39814","0.00144"
