End date,"12/16/2016"
Specimen label,"15AG_19"
Maximum Load,"0.22100",N

Time,Extension,Load
(s),(mm),(N)
"4.42200","0.36878","0.00163"
"4.42800","0.36926","0.00172"
"4.43400","0.36974","0.00172"
"4.44000","0.37022","0.00189"
"4.44600","0.37075","0.00206"
"4.45200","0.37123","0.00215"
"4.45800","0.37171","0.00226"
"4.46400","0.37219","0.00231"
"4.47000","0.37273","0.00231"
"4.47600","0.37321","0.00243"
"4.48200","0.37368","0.00240"
"4.48800","0.37422","0.00236"
"4.49400","0.37470","0.00236"
"4.50000","0.37518","0.00221"
"4.50600","0.37572","0.00207"
"4.51200","0.37620","0.00198"
"4.51800","0.37667","0.00188"
"4.52400","0.37721","0.00197"
"4.53000","0.37769","0.00196"
"4.53600","0.37817","0.00196"
"4.54200","0.37865","0.00208"
"4.54800","0.37919","0.00217"
"4.55400","0.37966","0.00216"
"4.56000","0.38014","0.00216"
"4.56600","0.38068","0.00200"
"4.57200","0.38116","0.00177"
"4.57800","0.38170","0.00159"
"4.58400","0.38217","0.00142"
"4.59000","0.38265","0.00141"
"4.59600","0.38319","0.00138"
"4.60200","0.38367","0.00135"
"4.60800","0.38421","0.00144"
"4.61400","0.38469","0.00146"
"4.62000","0.38522","0.00146"
"4.62600","0.38570","0.00151"
"4.63200","0.38618","0.00152"
"4.63800","0.38672","0.00152"
"4.64400","0.38720","0.00162"
"4.65000","0.38774","0.00156"
"4.65600","0.38821","0.00154"
"4.66200","0.38869","0.00157"
"4.66800","0.38923","0.00154"
"4.67400","0.38971","0.00156"
"4.68000","0.39025","0.00163"
"4.68600","0.39072","0.00160"
"4.69200","0.39120","0.00161"
"4.69800","0.39174","0.00159"
"4.70400","0.39222","0.00160"
"4.71000","0.39270","0.00165"
"4.71600","0.39324","0.00165"
"4.72200","0.39371","0.00173"
"4.72800","0.39425","0.00189"
"4.73400","0.39473","0.00186"
"4.74000","0.39521","0.00178"
"4.74600","0.39575","0.00181"
"4.75200","0.39623","0.00182"
"4.75800","0.39676","0.00192"
"4.76400","0.39724","0.00190"
"4.77000","0.39772","0.00188"
