End date,"1/21/2017"
Specimen label,"19DT_NT"
Maximum Load,"0.07495",N

Time,Extension,Load
(s),(mm),(N)
"3.07800","0.25668","-0.00486"
"3.08400","0.25715","-0.00478"
"3.09000","0.25763","-0.00479"
"3.09600","0.25817","-0.00472"
"3.10200","0.25865","-0.00474"
"3.10800","0.25919","-0.00488"
"3.11400","0.25967","-0.00489"
"3.12000","0.26014","-0.00490"
"3.12600","0.26068","-0.00493"
"3.13200","0.26116","-0.00472"
"3.13800","0.26170","-0.00454"
"3.14400","0.26218","-0.00450"
"3.15000","0.26272","-0.00428"
"3.15600","0.26319","-0.00413"
"3.16200","0.26373","-0.00419"
"3.16800","0.26421","-0.00435"
"3.17400","0.26475","-0.00454"
"3.18000","0.26523","-0.00464"
"3.18600","0.26570","-0.00464"
"3.19200","0.26624","-0.00480"
"3.19800","0.26672","-0.00494"
"3.20400","0.26720","-0.00496"
"3.21000","0.26768","-0.00507"
"3.21600","0.26822","-0.00516"
"3.22200","0.26869","-0.00520"
"3.22800","0.26923","-0.00518"
"3.23400","0.26971","-0.00496"
"3.24000","0.27019","-0.00471"
"3.24600","0.27073","-0.00459"
"3.25200","0.27121","-0.00449"
"3.25800","0.27168","-0.00460"
"3.26400","0.27222","-0.00472"
"3.27000","0.27270","-0.00473"
"3.27600","0.27318","-0.00476"
"3.28200","0.27372","-0.00466"
"3.28800","0.27419","-0.00453"
"3.29400","0.27473","-0.00443"
"3.30000","0.27521","-0.00425"
"3.30600","0.27569","-0.00415"
"3.31200","0.27623","-0.00414"
"3.31800","0.27671","-0.00420"
"3.32400","0.27724","-0.00440"
"3.33000","0.27772","-0.00456"
"3.33600","0.27820","-0.00466"
"3.34200","0.27874","-0.00470"
"3.34800","0.27922","-0.00463"
"3.35400","0.27970","-0.00449"
"3.36000","0.28017","-0.00445"
"3.36600","0.28071","-0.00436"
"3.37200","0.28119","-0.00437"
"3.37800","0.28167","-0.00444"
"3.38400","0.28215","-0.00442"
"3.39000","0.28268","-0.00440"
"3.39600","0.28316","-0.00425"
"3.40200","0.28364","-0.00405"
"3.40800","0.28418","-0.00400"
"3.41400","0.28466","-0.00408"
"3.42000","0.28520","-0.00430"
"3.42600","0.28567","-0.00454"
"3.43200","0.28615","-0.00467"
"3.43800","0.28669","-0.00465"
"3.44400","0.28717","-0.00471"
"3.45000","0.28765","-0.00471"
"3.45600","0.28819","-0.00481"
"3.46200","0.28866","-0.00490"
"3.46800","0.28914","-0.00482"
"3.47400","0.28968","-0.00488"
"3.48000","0.29016","-0.00488"
"3.48600","0.29064","-0.00474"
"3.49200","0.29112","-0.00461"
"3.49800","0.29165","-0.00453"
"3.50400","0.29213","-0.00450"
"3.51000","0.29267","-0.00452"
"3.51600","0.29315","-0.00448"
"3.52200","0.29363","-0.00445"
"3.52800","0.29416","-0.00451"
"3.53400","0.29464","-0.00444"
"3.54000","0.29512","-0.00427"
"3.54600","0.29566","-0.00422"
"3.55200","0.29614","-0.00419"
"3.55800","0.29668","-0.00421"
"3.56400","0.29715","-0.00417"
"3.57000","0.29763","-0.00410"
"3.57600","0.29817","-0.00396"
"3.58200","0.29865","-0.00379"
"3.58800","0.29919","-0.00379"
"3.59400","0.29967","-0.00391"
"3.60000","0.30014","-0.00398"
"3.60600","0.30068","-0.00403"
"3.61200","0.30116","-0.00408"
"3.61800","0.30164","-0.00406"
"3.62400","0.30218","-0.00416"
"3.63000","0.30265","-0.00419"
"3.63600","0.30313","-0.00415"
"3.64200","0.30367","-0.00417"
