End date,"11/4/2016"
Specimen label,"63G_"
Maximum Load,"2.39940",N

Time,Extension,Load
(s),(mm),(N)
"3.42000","0.57846","0.00014"
"3.42600","0.57894","0.00008"
"3.43200","0.57942","0.00011"
"3.43800","0.57996","0.00018"
"3.44400","0.58044","0.00027"
"3.45000","0.58092","0.00027"
"3.45600","0.58145","0.00024"
"3.46200","0.58193","0.00022"
"3.46800","0.58247","0.00031"
"3.47400","0.58295","0.00041"
"3.48000","0.58349","0.00051"
"3.48600","0.58396","0.00050"
"3.49200","0.58450","0.00038"
"3.49800","0.58498","0.00028"
"3.50400","0.58546","0.00025"
"3.51000","0.58600","0.00021"
"3.51600","0.58648","0.00022"
"3.52200","0.58695","0.00028"
"3.52800","0.58743","0.00027"
"3.53400","0.58797","0.00025"
"3.54000","0.58845","0.00028"
"3.54600","0.58899","0.00029"
"3.55200","0.58947","0.00034"
"3.55800","0.58994","0.00044"
"3.56400","0.59042","0.00051"
"3.57000","0.59096","0.00059"
"3.57600","0.59144","0.00060"
"3.58200","0.59192","0.00060"
"3.58800","0.59245","0.00066"
"3.59400","0.59293","0.00064"
"3.60000","0.59341","0.00065"
"3.60600","0.59395","0.00065"
"3.61200","0.59443","0.00061"
"3.61800","0.59491","0.00060"
"3.62400","0.59544","0.00063"
"3.63000","0.59592","0.00056"
"3.63600","0.59640","0.00049"
"3.64200","0.59694","0.00045"
"3.64800","0.59742","0.00040"
"3.65400","0.59790","0.00038"
"3.66000","0.59843","0.00044"
"3.66600","0.59891","0.00042"
"3.67200","0.59939","0.00045"
"3.67800","0.59993","0.00046"
"3.68400","0.60041","0.00049"
"3.69000","0.60088","0.00056"
"3.69600","0.60142","0.00056"
"3.70200","0.60190","0.00049"
"3.70800","0.60244","0.00042"
"3.71400","0.60292","0.00039"
"3.72000","0.60340","0.00032"
"3.72600","0.60393","0.00025"
"3.73200","0.60441","0.00025"
"3.73800","0.60489","0.00033"
"3.74400","0.60543","0.00039"
"3.75000","0.60591","0.00042"
"3.75600","0.60639","0.00051"
"3.76200","0.60692","0.00049"
"3.76800","0.60740","0.00049"
"3.77400","0.60794","0.00061"
"3.78000","0.60842","0.00067"
"3.78600","0.60890","0.00082"
"3.79200","0.60943","0.00088"
"3.79800","0.60991","0.00087"
"3.80400","0.61039","0.00084"
"3.81000","0.61093","0.00067"
"3.81600","0.61141","0.00044"
"3.82200","0.61195","0.00034"
"3.82800","0.61242","0.00029"
"3.83400","0.61296","0.00027"
"3.84000","0.61344","0.00028"
"3.84600","0.61392","0.00039"
"3.85200","0.61446","0.00058"
"3.85800","0.61494","0.00063"
"3.86400","0.61541","0.00062"
"3.87000","0.61589","0.00068"
"3.87600","0.61643","0.00074"
"3.88200","0.61691","0.00077"
"3.88800","0.61745","0.00074"
"3.89400","0.61792","0.00069"
"3.90000","0.61840","0.00060"
"3.90600","0.61894","0.00059"
"3.91200","0.61942","0.00049"
"3.91800","0.61996","0.00044"
"3.92400","0.62044","0.00052"
"3.93000","0.62091","0.00070"
"3.93600","0.62139","0.00091"
"3.94200","0.62193","0.00092"
"3.94800","0.62241","0.00075"
"3.95400","0.62295","0.00054"
"3.96000","0.62343","0.00040"
"3.96600","0.62396","0.00032"
"3.97200","0.62444","0.00030"
"3.97800","0.62498","0.00034"
"3.98400","0.62546","0.00045"
"3.99000","0.62594","0.00056"
"3.99600","0.62647","0.00073"
"4.00200","0.62695","0.00075"
"4.00800","0.62749","0.00077"
"4.01400","0.62797","0.00079"
"4.02000","0.62845","0.00087"
"4.02600","0.62893","0.00091"
