End date,"11/14/2016"
Specimen label,"20BT60"
Maximum Load,"0.35281",N

Time,Extension,Load
(s),(mm),(N)
"4.65600","0.38821","0.00278"
"4.66200","0.38869","0.00293"
"4.66800","0.38923","0.00293"
"4.67400","0.38971","0.00280"
"4.68000","0.39019","0.00273"
"4.68600","0.39066","0.00263"
"4.69200","0.39114","0.00273"
"4.69800","0.39168","0.00284"
"4.70400","0.39216","0.00309"
"4.71000","0.39264","0.00335"
"4.71600","0.39318","0.00362"
"4.72200","0.39365","0.00388"
"4.72800","0.39413","0.00425"
"4.73400","0.39467","0.00460"
"4.74000","0.39515","0.00474"
"4.74600","0.39569","0.00461"
"4.75200","0.39617","0.00430"
"4.75800","0.39670","0.00402"
"4.76400","0.39718","0.00378"
"4.77000","0.39766","0.00350"
"4.77600","0.39820","0.00323"
"4.78200","0.39874","0.00292"
