End date,"1/7/2017"
Specimen label,"18AT_47/49"
Maximum Load,"0.18800",N

Time,Extension,Load
(s),(mm),(N)
"4.02600","0.33566","-0.00055"
"4.03200","0.33620","-0.00072"
"4.03800","0.33667","-0.00072"
"4.04400","0.33715","-0.00070"
"4.05000","0.33763","-0.00059"
"4.05600","0.33817","-0.00044"
"4.06200","0.33865","-0.00030"
"4.06800","0.33913","-0.00023"
"4.07400","0.33960","-0.00016"
"4.08000","0.34014","-0.00013"
"4.08600","0.34062","-0.00013"
"4.09200","0.34110","-0.00015"
"4.09800","0.34164","-0.00009"
"4.10400","0.34212","-0.00006"
"4.11000","0.34265","-0.00024"
"4.11600","0.34313","-0.00048"
"4.12200","0.34367","-0.00054"
"4.12800","0.34415","-0.00063"
"4.13400","0.34469","-0.00071"
"4.14000","0.34522","-0.00074"
"4.14600","0.34570","-0.00079"
"4.15200","0.34618","-0.00085"
"4.15800","0.34672","-0.00095"
"4.16400","0.34720","-0.00101"
"4.17000","0.34768","-0.00095"
"4.17600","0.34815","-0.00080"
"4.18200","0.34863","-0.00062"
"4.18800","0.34917","-0.00046"
"4.19400","0.34965","-0.00048"
"4.20000","0.35019","-0.00056"
"4.20600","0.35067","-0.00058"
"4.21200","0.35114","-0.00053"
"4.21800","0.35168","-0.00053"
"4.22400","0.35216","-0.00043"
"4.23000","0.35270","-0.00029"
"4.23600","0.35318","-0.00010"
"4.24200","0.35366","-0.00005"
"4.24800","0.35419","-0.00013"
"4.25400","0.35467","-0.00010"
"4.26000","0.35521","-0.00010"
"4.26600","0.35569","-0.00007"
"4.27200","0.35623","-0.00012"
"4.27800","0.35670","-0.00020"
"4.28400","0.35724","-0.00026"
"4.29000","0.35772","-0.00027"
"4.29600","0.35820","-0.00037"
"4.30200","0.35868","-0.00044"
"4.30800","0.35922","-0.00041"
"4.31400","0.35969","-0.00045"
"4.32000","0.36017","-0.00049"
"4.32600","0.36071","-0.00052"
"4.33200","0.36119","-0.00051"
"4.33800","0.36167","-0.00047"
"4.34400","0.36220","-0.00034"
"4.35000","0.36268","-0.00032"
"4.35600","0.36322","-0.00034"
"4.36200","0.36370","-0.00054"
"4.36800","0.36424","-0.00071"
"4.37400","0.36472","-0.00076"
"4.38000","0.36519","-0.00069"
"4.38600","0.36573","-0.00063"
"4.39200","0.36621","-0.00061"
"4.39800","0.36675","-0.00061"
"4.40400","0.36723","-0.00065"
"4.41000","0.36771","-0.00075"
"4.41600","0.36824","-0.00087"
"4.42200","0.36872","-0.00089"
"4.42800","0.36920","-0.00082"
"4.43400","0.36974","-0.00078"
"4.44000","0.37022","-0.00069"
"4.44600","0.37075","-0.00065"
"4.45200","0.37123","-0.00065"
"4.45800","0.37171","-0.00067"
"4.46400","0.37219","-0.00075"
"4.47000","0.37273","-0.00083"
"4.47600","0.37321","-0.00093"
"4.48200","0.37368","-0.00092"
"4.48800","0.37416","-0.00079"
"4.49400","0.37470","-0.00071"
"4.50000","0.37518","-0.00081"
"4.50600","0.37566","-0.00086"
"4.51200","0.37620","-0.00088"
"4.51800","0.37667","-0.00087"
"4.52400","0.37715","-0.00073"
"4.53000","0.37769","-0.00053"
"4.53600","0.37817","-0.00030"
"4.54200","0.37865","-0.00008"
